"CRC32";"lastAccessTime";"lastModifiedTime";"creationTime";"rootFolder";"subFolder0";"subFolder1";"subFolder2";"subFolder3";"subFolder4";"subFolder5";"subFolder6";"subFolder7";"subFolder8";"subFolder9";"fileName";"fileExtension";"growthMedium";"measurementPosition";"measurementTime";"objective";"Zelltyp";"~File location";""
"3e7b14f2";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_ZK1";"asc";"Medium";"_ZK";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_ZK1.asc";""
"b5860b33";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_ZK10";"asc";"Medium";"_ZK";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_ZK10.asc";""
"5ad4bdd2";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_ZK11";"asc";"Medium";"_ZK";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_ZK11.asc";""
"b05260b0";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_ZK12";"asc";"Medium";"_ZK";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_ZK12.asc";""
"5f00d651";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_ZK13";"asc";"Medium";"_ZK";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_ZK13.asc";""
"be2edc35";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_ZK14";"asc";"Medium";"_ZK";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_ZK14.asc";""
"517c6ad4";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_ZK15";"asc";"Medium";"_ZK";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_ZK15.asc";""
"bbfab7b6";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_ZK16";"asc";"Medium";"_ZK";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_ZK16.asc";""
"54a80157";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_ZK17";"asc";"Medium";"_ZK";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_ZK17.asc";""
"a2d7a53f";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_ZK18";"asc";"Medium";"_ZK";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_ZK18.asc";""
"4d8513de";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_ZK19";"asc";"Medium";"_ZK";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_ZK19.asc";""
"d4fdc990";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"2015-03-19, 13:01:32";"C:";"Users";"Pippow";"Arbeit";"LifeHCA";"MAVO_Optiscell";"BSCW";"OPTISCELL";"Raman Daten";"BHK 570";"BHK 570 (Non-Producer)";"BHK_570_Medium_60wi_50sec_ZK2";"asc";"Medium";"_ZK";"50sec";"60wi";"BHK_570";"~C:\\Users\\Pippow\\Arbeit\\LifeHCA\\MAVO_Optiscell\\BSCW\\OPTISCELL\\Raman Daten\\BHK 570\\BHK 570 (Non-Producer)\\BHK_570_Medium_60wi_50sec_ZK2.asc";""
